,instances_sorted,early_stop,type,pre_threshold,rec_threshold,f1_score,precision,recall,accuracy,mean_max_dissim_,mean_min_dissim_,median_max_dissim_,median_min_dissim_,std_dev_max_dissim_,std_dev_min_dissim_
0,False,False,object,25,25,64.2641369047619,74.8046875,59.453125,79.390625,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
1,False,False,object,25,50,64.61532738095238,75.6640625,59.791666666666664,79.0078125,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
2,False,False,object,25,75,66.47470238095238,75.79427083333333,62.29166666666666,82.25,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
3,False,False,object,25,90,66.43229166666667,76.92708333333333,61.69270833333334,80.53125,100.013033522225,48.987547785649994,99.5553314198,52.66244178345,4.330754882083501,10.524154944424206
4,False,False,object,50,25,66.69866071428572,75.9765625,62.682291666666664,81.671875,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
5,False,False,object,50,50,66.63764880952381,76.19791666666667,62.60416666666666,80.58072916666667,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
6,False,False,object,50,75,66.27455357142858,76.4453125,61.77083333333333,80.3671875,100.11336156298333,47.88019782091666,99.5553314198,51.0236171751,4.1226851666489095,10.139180781539249
7,False,False,object,50,90,67.2328869047619,77.4609375,62.682291666666664,79.92708333333334,99.89319951546389,49.143996954030555,99.5553314198,52.19325996,4.035324359750221,10.145645080855385
8,False,False,object,75,25,64.67931547619047,74.6875,60.3125,78.7890625,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
9,False,False,object,75,50,65.76636904761904,76.02864583333333,61.40624999999999,80.33854166666667,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
10,False,False,object,75,75,64.38020833333334,74.84375,59.609375,79.2734375,100.11336156298333,47.95887168232917,99.5553314198,51.0236171751,4.1226851666489095,10.226232742331247
11,False,False,object,75,90,66.95014880952381,79.42708333333334,61.25000000000001,78.6875,100.00300945645277,48.271806419575,99.5553314198,52.0843209527,3.9966553295699874,10.270569116536846
12,False,False,object,90,25,69.36793154761904,77.26822916666666,66.32812499999999,81.47135416666667,98.62000437576944,50.52854382248473,99.46820074064999,53.0584152852,5.991734697495029,10.559183744088545
13,False,False,object,90,50,66.25074404761905,75.92447916666666,62.47395833333332,80.39583333333334,99.37670786765278,51.101503115338886,99.5553314198,53.2732079157,4.8959923117536785,9.280944401753038
14,False,False,object,90,75,66.87723214285714,75.859375,63.25520833333333,79.97395833333333,99.23227788397084,50.69956212502917,99.5553314198,53.2732079157,5.1867508704972485,9.721601724914084
15,False,False,object,90,90,68.9047619047619,77.20052083333334,65.41666666666667,81.19270833333333,99.31352138096527,51.0679353950375,99.5553314198,53.9842804715,5.305391394645797,8.830379949936653
16,False,False,rgb,25,25,89.36309523809524,91.7361111111111,90.27777777777777,92.40277777777777,97.71614980793333,41.44123498767083,98.5400104637,49.33493220355,3.3459620145865507,13.987075598200947
17,False,False,rgb,25,50,88.11607142857143,90.66666666666666,88.54166666666666,91.97916666666666,97.71614980793333,41.44123498767083,98.5400104637,49.33493220355,3.3459620145865507,13.987075598200947
18,False,False,rgb,25,75,87.59722222222223,88.2638888888889,90.13888888888889,90.66666666666667,95.92487638273751,43.39399357972917,97.09454011805,50.7256925437,6.1488621949083,14.623659021171298
19,False,False,rgb,25,90,79.11011904761904,78.90972222222223,81.31944444444444,79.41666666666666,94.89682407735,59.226861159840006,96.2576731718,57.095466040999995,4.779851926622299,15.650813306000234
20,False,False,rgb,50,25,89.76785714285714,92.73611111111111,90.625,92.5,97.71614980793333,41.44123498767083,98.5400104637,49.33493220355,3.3459620145865507,13.987075598200947
21,False,False,rgb,50,50,88.14087301587301,90.61805555555556,89.16666666666667,90.94444444444444,97.71614980793333,41.44123498767083,98.5400104637,49.33493220355,3.3459620145865507,13.987075598200947
22,False,False,rgb,50,75,89.17857142857144,89.49305555555554,92.5,91.89583333333333,97.54010077226667,46.7152963574,98.5400104637,51.79309267255,3.0833108947163708,12.664955984830849
23,False,False,rgb,50,90,82.17460317460318,82.03472222222223,84.65277777777777,82.06944444444444,92.77730971129525,53.81952628870475,95.5088786712,52.9867282162,7.376197385230589,15.348648055655977
24,False,False,rgb,75,25,91.92063492063492,93.26388888888889,93.88888888888889,93.29861111111111,96.99058297325,43.07947468962083,98.10592004755,49.7409345358,4.118587322038552,13.154110803316357
25,False,False,rgb,75,50,94.08035714285715,93.74305555555556,97.22222222222223,94.25694444444444,96.50009172823752,45.27622213910416,96.4594505986,51.8657545028,4.35324965611021,13.768527653764904
26,False,False,rgb,75,75,88.97222222222223,87.06944444444444,95.83333333333333,87.90277777777777,91.68100160891667,49.48179347480417,95.22199442585,52.1207056059,9.592778739400428,15.932416586815524
27,False,False,rgb,75,90,75.3998015873016,72.43055555555556,85.48611111111111,73.54861111111111,94.73280366024761,58.3966394150381,96.2576731718,53.7009369134,6.238744816711078,15.665639798836956
28,False,False,rgb,90,25,84.81944444444444,82.11805555555556,93.75,87.04861111111111,89.52218784797917,55.19416394102917,92.06309798785,52.1207056059,8.608946146557365,16.206405846307216
29,False,False,rgb,90,50,79.16666666666667,76.25,87.84722222222223,79.07638888888889,90.22418874622609,55.568431800300004,91.9484320244,58.8018091804,8.885989731090522,17.998579865217362
30,False,False,rgb,90,75,72.61805555555556,68.24305555555556,84.65277777777777,72.20833333333333,87.48867205292382,59.88535024303809,91.9484320244,63.5126637578,14.069312266220786,16.277303968078485
31,False,False,rgb,90,90,63.56150793650794,57.694444444444436,78.05555555555556,61.93750000000001,87.38726058254736,59.49349525574737,91.9484320244,56.5643557729,16.316166317742624,21.455095684033072
32,False,False,shape,25,25,75.36666666666667,87.25,70.0,84.25,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
33,False,False,shape,25,50,76.81666666666666,86.66666666666667,72.08333333333333,84.99166666666667,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
34,False,False,shape,25,75,77.25,87.08333333333334,72.66666666666666,85.69166666666666,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
35,False,False,shape,25,90,74.89880952380952,84.8,70.75,83.60000000000001,97.541593582365,52.823940492045004,97.0370610902,56.8385571267,6.008474147100833,10.817540399874114
36,False,False,shape,50,25,71.11666666666667,81.33333333333333,66.25,83.025,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
37,False,False,shape,50,50,75.0,84.25,71.25,84.94999999999999,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
38,False,False,shape,50,75,76.03333333333333,83.91666666666667,72.5,86.34166666666667,97.75542282718,52.60692744561,97.9065022958,56.8385571267,5.96745089348265,8.660814479702736
39,False,False,shape,50,90,73.3452380952381,82.375,70.75,82.18333333333334,96.779131589625,54.542661455235006,97.9065022958,56.8385571267,4.976034618343382,12.864572872143595
40,False,False,shape,75,25,73.34047619047618,82.25,69.33333333333333,84.24166666666667,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
41,False,False,shape,75,50,79.38333333333333,88.83333333333333,75.16666666666667,86.42499999999998,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
42,False,False,shape,75,75,76.01190476190477,86.79166666666666,71.33333333333333,85.00833333333333,97.90024023056999,50.75407973204499,99.5553314198,55.6588245188,5.989257763135265,9.319092856581355
43,False,False,shape,75,90,74.96666666666667,85.25,70.83333333333333,79.68333333333334,97.03538286244999,52.15881473592,95.86654768554999,55.79937152845,5.583702766259053,9.006308952370585
44,False,False,shape,90,25,74.6952380952381,81.625,73.41666666666666,80.24166666666667,96.68490208752,54.366387379950005,96.4612647264,56.8385571267,4.752423733769741,8.118754080126898
45,False,False,shape,90,50,74.00714285714285,80.76666666666667,73.58333333333333,82.775,96.69124193556499,59.568995045135,95.96963106115,57.652427782000004,5.255439143911019,10.178459148507315
46,False,False,shape,90,75,72.58214285714287,79.00833333333334,74.75,78.25,94.688624989355,57.71678138352,92.1777639513,58.4662984373,5.204249391835421,9.311217555371096
47,False,False,shape,90,90,71.68214285714286,74.5,74.91666666666666,78.125,94.03439112561499,57.515485100514994,92.1777639513,57.652427782000004,9.52812613382476,11.407916719044385
48,False,True,object,25,25,66.56473214285715,77.03125,61.901041666666664,81.01822916666666,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
49,False,True,object,25,50,64.39285714285714,73.93229166666667,60.13020833333333,80.20572916666666,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
50,False,True,object,25,75,62.99813988095238,71.65624999999999,60.62499999999999,78.36197916666666,99.552498363175,49.37499801040278,99.46820074064999,52.0843209527,4.848817059094552,12.307077782351348
51,False,True,object,25,90,66.71316964285714,74.08333333333333,66.11979166666667,76.70052083333331,96.18785941119155,53.4850447694324,97.9899846991,54.3381755156,8.17717301631731,14.754202384524685
52,False,True,object,50,25,65.60119047619048,76.11979166666666,60.807291666666664,79.80989583333333,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
53,False,True,object,50,50,63.39806547619048,73.828125,59.08854166666666,78.2578125,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
54,False,True,object,50,75,64.43377976190476,73.4453125,61.71874999999999,78.65625,98.783574627325,48.558767743800004,99.3810700615,51.49949956025,6.6704031712031115,10.855987538851775
55,False,True,object,50,90,68.87276785714285,76.21875,67.96875,77.50520833333333,96.84021127960573,53.29335652084143,98.9458061539,54.3028997726,7.461133500448023,13.888461722437983
56,False,True,object,75,25,64.08630952380952,73.42447916666666,60.312499999999986,79.796875,99.74710193889584,48.3439120641514,99.5553314198,51.49949956025,4.454317387421515,10.782741259154507
57,False,True,object,75,50,64.69642857142857,74.7265625,60.078125,79.63541666666667,99.50167162878611,48.58176123935,99.5553314198,52.19325996,5.02866731895283,10.5528799886992
58,False,True,object,75,75,67.40699404761905,75.40364583333333,65.36458333333333,80.43229166666666,98.02775568776805,51.29997433935001,99.20693911095,52.9867282162,6.973974741861442,12.751915470783752
59,False,True,object,75,90,64.95721726190476,72.96614583333331,63.51562499999999,73.1328125,96.8961782056243,53.79137802234714,98.8298126681,53.48707241455,7.435994777406823,14.633869591990381
60,False,True,object,90,25,67.984375,70.72395833333333,72.890625,75.2734375,93.6757548228972,58.67873782977747,94.9335312301,57.9945451722,9.078835977658667,13.507140117298487
61,False,True,object,90,50,67.87797619047618,71.671875,72.5,75.2421875,92.53548124862361,58.28682238742778,97.4118099736,56.80432230465,11.644351862445038,11.559371432747596
62,False,True,object,90,75,69.11532738095238,73.18489583333333,71.40625,78.296875,93.51203738680972,57.06343447679861,96.2576731718,55.907574038999996,10.745194776480322,12.396579061127001
63,False,True,object,90,90,68.01227678571428,68.96614583333331,74.609375,74.64583333333333,92.20891660142678,59.87537356112394,93.2676304857,58.6006465484,9.7134958387627,12.011843452773373
64,False,True,rgb,25,25,84.25099206349208,87.4375,84.58333333333333,88.43055555555556,97.77956183559128,40.939257021213045,98.5689795522,48.1640565251,3.4037795119313947,14.074684047503752
65,False,True,rgb,25,50,89.39087301587303,92.7361111111111,90.48611111111111,92.25,97.34559140110416,43.16354547312917,98.5400104637,50.911810214249996,3.944959540013016,14.720667672540916
66,False,True,rgb,25,75,60.242063492063494,58.34027777777778,65.69444444444444,59.35416666666667,91.0839762201625,47.91095806281875,95.13554978345,48.3205874172,13.770667997191543,16.202697507354163
67,False,True,rgb,25,90,47.807539682539684,44.89583333333333,56.94444444444446,47.11111111111111,91.71574878335711,63.567813811078565,95.22199442585,58.705019327100004,8.93302060808355,16.988566616622016
68,False,True,rgb,50,25,89.80853174603175,91.36805555555556,92.43055555555556,91.71527777777779,97.71614980793333,41.44123498767083,98.5400104637,49.33493220355,3.3459620145865507,13.987075598200947
69,False,True,rgb,50,50,87.04563492063492,89.30555555555556,89.16666666666667,90.74305555555556,96.88812384367499,42.579593557941664,98.13488913605,49.33493220355,5.064434917372242,15.74576903811218
70,False,True,rgb,50,75,74.62003968253967,73.92361111111111,77.70833333333333,74.59027777777779,93.52139306950527,52.360158207957895,96.2576731718,52.1207056059,8.27542548526379,17.185224027619142
71,False,True,rgb,50,90,73.94444444444444,69.08333333333334,85.97222222222223,73.77777777777777,83.61691561902857,58.969454274695224,89.6562232602,63.5126637578,16.9266758100269,18.682246238597322
72,False,True,rgb,75,25,81.20337301587301,77.76388888888889,92.36111111111111,79.0,91.90851855554783,55.31288764428696,92.1777639513,53.7009369134,7.905696272773468,17.908684149461745
73,False,True,rgb,75,50,82.60714285714285,78.94444444444444,91.04166666666666,83.875,89.1524741281,54.261969540065216,91.9484320244,55.9442022574,11.732902672110672,17.27613156884397
74,False,True,rgb,75,75,69.63690476190476,66.72222222222223,77.91666666666667,68.0763888888889,85.96209817224738,59.74752256538421,88.5674562624,56.5643557729,12.114431328114877,16.799413129538046
75,False,True,rgb,75,90,44.25,39.34027777777778,57.291666666666664,41.951388888888886,85.31281997115,63.25294655266429,84.5420440339,70.2448254379,8.628868696273639,18.585435630516344
76,False,True,rgb,90,25,84.13492063492063,78.75,96.875,84.22222222222223,89.56986505728749,60.71195024877084,91.03151182990001,64.1191130088,8.484337578326688,20.708821215908152
77,False,True,rgb,90,50,77.7202380952381,73.13194444444444,91.80555555555554,76.60416666666666,85.88021983203478,57.5047658777087,83.857592609,60.3302496626,11.160704594065733,17.063091980074905
78,False,True,rgb,90,75,70.96626984126983,64.33333333333333,86.875,69.09722222222221,83.80990933450951,61.030893611571436,83.5117184838,64.4054477216,11.794417395150786,18.60509177854814
79,False,True,rgb,90,90,39.81349206349206,34.645833333333336,52.43055555555556,38.33333333333333,83.93536039508461,70.3578168195846,84.4911213288,71.0344250112,8.805155958102505,13.953323736022455
80,False,True,shape,25,25,73.36666666666667,82.66666666666667,69.41666666666667,84.05833333333334,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
81,False,True,shape,25,50,74.25,84.0,69.91666666666666,83.35,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
82,False,True,shape,25,75,72.675,77.89166666666667,75.0,77.13333333333333,95.033940605685,57.96087344945501,95.86654768554999,57.652427782000004,7.622863075868573,11.12994946510292
83,False,True,shape,25,90,63.75357142857143,63.358333333333334,72.75,69.07499999999999,91.63376073967368,63.46145591901054,91.9484320244,58.6006465484,8.612911671890966,12.709279735195786
84,False,True,shape,50,25,73.1,83.08333333333333,68.41666666666666,80.90833333333333,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
85,False,True,shape,50,50,74.81666666666666,85.91666666666667,69.58333333333334,84.61666666666667,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
86,False,True,shape,50,75,74.30000000000001,87.33333333333334,68.16666666666666,83.93333333333334,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
87,False,True,shape,50,90,64.66785714285714,64.76666666666667,75.41666666666666,66.75,91.07230374997368,61.68584302197369,91.1459919984,58.6006465484,7.760718722446036,13.618746245623235
88,False,True,shape,75,25,71.50595238095238,78.44166666666666,70.66666666666666,80.025,96.30742424498001,53.42691353652499,94.99710647994999,56.8385571267,6.59553469397386,11.474030567319867
89,False,True,shape,75,50,74.68333333333332,85.33333333333334,69.91666666666667,81.64999999999999,97.92030573958,50.75407973204499,99.5553314198,55.6588245188,5.969347086315654,9.319092856581355
90,False,True,shape,75,75,73.84166666666667,79.675,74.0,78.9,96.408047052915,54.713814878530016,92.1777639513,56.8385571267,6.596128714855796,12.82231217528388
91,False,True,shape,75,90,60.93452380952381,60.45833333333333,67.58333333333333,62.166666666666664,93.47415630977648,56.48320575464118,92.1777639513,56.8385571267,9.963810511064677,12.928316637079133
92,False,True,shape,90,25,71.075,72.70833333333333,80.33333333333333,73.75833333333333,88.68992410882501,63.72415150946999,88.9686202691,64.08698393905,7.691968878613041,12.504443935749048
93,False,True,shape,90,50,62.78214285714286,63.233333333333334,72.66666666666666,66.04166666666667,89.90855015105264,66.25953051094736,91.9484320244,61.2492660247,8.460966470342415,11.39227326972078
94,False,True,shape,90,75,66.08928571428572,67.33333333333334,73.66666666666666,70.51666666666667,92.35494371171053,63.118266583778954,92.1777639513,61.2492660247,5.713106412607489,13.7329286155454
95,False,True,shape,90,90,70.59285714285714,70.05833333333334,78.58333333333333,72.79166666666667,86.21052006072632,61.9143801111,91.9484320244,58.6006465484,15.05483225466156,13.892504246871898
96,True,False,object,25,25,65.46875,75.78125,60.625,80.96354166666667,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
97,True,False,object,25,50,65.765625,76.09375,61.14583333333333,80.67708333333333,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
98,True,False,object,25,75,66.41517857142858,76.2890625,62.03125,80.98177083333333,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
99,True,False,object,25,90,64.93452380952381,76.04166666666666,60.026041666666664,78.63802083333333,100.11336156298333,48.33210287743056,99.5553314198,51.49949956025,4.1226851666489095,10.840919296511712
100,True,False,object,50,25,65.99702380952381,76.53645833333333,61.25,79.296875,100.11336156298333,47.83871515745833,99.5553314198,51.0236171751,4.1226851666489095,10.115311813311505
