,features,observed_count,expected_feature_count_theta_0,partial_derivative_theta_0,finite_difference_theta_0,expected_feature_count_theta_tanh,partial_derivative_theta_tanh,finite_difference_theta_tanh
"(' ', ' ')","('a', 'a')",99,1713.6923076923076,-1614.6923076923076,-1614.6923109772613,1750.347995112991,-1651.347995112991,-1651.347991719376
"(' ', '0')","('a', 'l')",6207,1713.6923076923076,4493.307692307692,4493.307690427173,1907.0188073911454,4299.981192608855,4299.981193616986
"(' ', '1')","('a', 'SPACE')",5670,1713.6923076923076,3956.3076923076924,3956.307690532412,1095.8995892887815,4574.1004107112185,4574.100409809034
"(' ', '2')","('a', 'z')",125,1713.6923076923076,-1588.6923076923076,-1588.6923109064808,2122.6831283757588,-1997.6831283757588,-1997.6831274107096
"(' ', '3')","('a', 'm')",2193,1713.6923076923076,479.3076923076924,479.3076892383396,1921.855117293683,271.14488270631705,271.14488621009514
"(' ', '4')","('a', 'n')",13044,1713.6923076923076,11330.307692307691,11330.307689786421,1936.7849452066841,11107.215054793316,11107.215052470565
"(' ', '5')","('a', 'e')",180,1713.6923076923076,-1533.6923076923076,-1533.692311204504,1805.8916413871186,-1625.8916413871186,-1625.8916395599952
"(' ', '6')","('a', 'r')",6645,1713.6923076923076,4931.307692307692,4931.307688821107,1997.410702261865,4647.589297738135,4647.589294472709
"(' ', '7')","('a', 'i')",2184,1713.6923076923076,470.3076923076924,470.30769055709237,1863.0843541620363,320.91564583796367,320.91564644360915
"(' ', '8')","('a', 'c')",2483,1713.6923076923076,769.3076923076924,769.3076884606852,1777.9097047555388,705.0902952444612,705.0902931950985
"(' ', '9')","('a', 'f')",740,1713.6923076923076,-973.6923076923076,-973.6923093441873,1820.0377932971426,-1080.0377932971426,-1080.0377960549667
"(' ', 'E')","('a', 'o')",60,1713.6923076923076,-1653.6923076923076,-1653.692311083432,1951.8068873530694,-1891.8068873530694,-1891.8068846687672
"(' ', 'U')","('a', 's')",5441,1713.6923076923076,3727.3076923076924,3727.3076901328745,2012.7861878537562,3428.213812146244,3428.2138120033774
"(' ', 'a')","('a', 'k')",991,1713.6923076923076,-722.6923076923076,-722.6923073176293,1892.2773747827512,-901.2773747827512,-901.2773778522386
"(' ', 'b')","('a', 'd')",2348,1713.6923076923076,634.3076923076924,634.307689324487,1791.8486135261755,556.1513864738245,556.1513899010606
"(' ', 'c')","('a', 'h')",221,1713.6923076923076,-1492.6923076923076,-1492.6923118764532,1848.635259474135,-1627.635259474135,-1627.6352616841903
