,features,observed_count,expected_feature_count_theta_0,partial_derivative_theta_0,finite_difference_theta_0,expected_feature_count_theta_tanh,partial_derivative_theta_tanh,finite_difference_theta_tanh
 ,a,66834,25017.589743589742,41816.41025641026,41816.41014292836,25703.599525860438,41130.40047413956,41130.39933145046
0,l,33301,25017.589743589742,8283.410256410258,8283.410221338272,27893.731739181156,5407.268260818844,5407.2674829512835
1,SPACE,180106,25017.589743589742,155088.41025641025,155088.41024711728,15674.2271206653,164431.7728793347,164431.7724276334
2,z,704,25017.589743589742,-24313.589743589742,-24313.589790835977,30790.62246753885,-30086.62246753885,-30086.621874943376
3,m,20382,25017.589743589742,-4635.589743589742,-4635.589895769954,28097.294969792674,-7715.294969792674,-7715.294603258371
4,n,55029,25017.589743589742,30011.410256410258,30011.410359293222,28301.487607136896,26727.512392863104,26727.51247882843
5,e,95343,25017.589743589742,70325.41025641025,70325.40999352932,26488.652861412655,68854.34713858734,68854.34710420668
6,r,46948,25017.589743589742,21930.410256410258,21930.410293862224,29123.998040821523,17824.001959178477,17824.001610279083
7,i,57635,25017.589743589742,32617.410256410258,32617.41017922759,27287.08865882092,30347.91134117908,30347.911873832345
8,c,22852,25017.589743589742,-2165.5897435897423,-2165.5899472534657,26094.35669739285,-3242.35669739285,-3242.356935516
9,f,16355,25017.589743589742,-8662.589743589742,-8662.589825689793,26687.068429440296,-10332.068429440296,-10332.068661227822
E,o,60181,25017.589743589742,35163.41025641026,35163.410007953644,28506.282158831993,31674.717841168007,31674.717785790563
U,s,48773,25017.589743589742,23755.410256410258,23755.40998764336,29330.919657301376,19442.080342698624,19442.080287262797
a,k,7150,25017.589743589742,-17867.589743589742,-17867.589835077524,27690.82509686733,-20540.82509686733,-20540.82532413304
b,d,30103,25017.589743589742,5085.410256410258,5085.410084575415,26291.074223688694,3811.9257763113055,3811.9261153042316
c,h,38063,25017.589743589742,13045.410256410258,13045.41015997529,27086.311537625115,10976.688462374885,10976.688470691442
d,b,12319,25017.589743589742,-12698.589743589742,-12698.589824140072,25898.524030395827,-13579.524030395827,-13579.524355009198
e,u,22951,25017.589743589742,-2066.5897435897423,-2066.589891910553,29746.114892947993,-6795.114892947993,-6795.115303248167
f,t,71276,25017.589743589742,46258.41025641026,46258.41020606458,29538.301615515928,41737.69838448407,41737.699415534735
g,p,15997,25017.589743589742,-9020.589743589742,-9020.589757710695,28711.650837143363,-12714.650837143363,-12714.649783447385
h,q,1065,25017.589743589742,-23952.589743589742,-23952.589835971594,28917.565574754008,-27852.565574754008,-27852.566447108984
i,w,15814,25017.589743589742,-9203.589743589742,-9203.589987009764,30162.918348360254,-14348.918348360254,-14348.918804898858
j,y,16994,25017.589743589742,-8023.589743589742,-8023.589849472046,30581.094216846024,-13587.094216846024,-13587.09391206503
k,g,16040,25017.589743589742,-8977.589743589742,-8977.589663118124,26886.296325315107,-10846.296325315107,-10846.296325325966
l,3,1048,25017.589743589742,-23969.589743589742,-23969.589732587337,18012.654134861394,-16964.654134861394,-16964.654671028256
m,2,1583,25017.589743589742,-23434.589743589742,-23434.589616954327,17877.082405812886,-16294.082405812886,-16294.082161039114
n,v,8567,25017.589743589742,-16450.589743589742,-16450.589755550027,29954.33027023762,-21387.33027023762,-21387.330489233136
o,j,1652,25017.589743589742,-23365.589743589742,-23365.589790046215,27488.601898460725,-25836.601898460725,-25836.60208620131
p,1,1929,25017.589743589742,-23088.589743589742,-23088.589776307344,17742.918656682956,-15813.918656682956,-15813.918551430106
q,9,702,25017.589743589742,-24315.589743589742,-24315.590038895607,18855.708562107597,-18153.708562107597,-18153.7086609751
r,6,598,25017.589743589742,-24419.589743589742,-24419.589899480343,18427.830508969702,-17829.830508969702,-17829.83005978167
s,0,3035,25017.589743589742,-21982.589743589742,-21982.589969411492,17610.16093679237,-14575.16093679237,-14575.161505490541
t,8,547,25017.589743589742,-24470.589743589742,-24470.59005498886,18711.67156648874,-18164.67156648874,-18164.67195749283
u,4,717,25017.589743589742,-24300.589743589742,-24300.589691847563,18149.635384914585,-17432.635384914585,-17432.635184377432
v,5,855,25017.589743589742,-24162.589743589742,-24162.589805200696,18288.02727820056,-17433.02727820056,-17433.026572689414
w,x,1640,25017.589743589742,-23377.589743589742,-23377.589881420135,30371.849565964327,-28731.849565964327,-28731.84997588396
x,7,597,25017.589743589742,-24420.589743589742,-24420.589907094836,18569.04533453516,-17972.04533453516,-17972.04604372382
y,U,0,25017.589743589742,-25017.589743589742,-25017.589796334505,23443.173558730185,-23443.173558730185,-23443.1738499552
z,E,1,25017.589743589742,-25016.589743589742,-25016.589555889368,20693.303303584493,-20692.303303584493,-20692.302146926522
