,primary,secondary,pw_angle,quintile
0,cube/cube_1,cabbage/cabbage_1,0.0,1
1,cube/cube_1,arch/arch_4,7.252246865059431,1
2,cube/cube_1,triangle/triangle_3,29.30810923552546,1
3,cube/cube_1,eggplant/eggplant_2,30.117294747322063,1
4,cube/cube_1,triangle/triangle_4,30.795512314027608,1
5,cube/cube_1,cube/cube_3,32.435048074881344,1
6,cube/cube_1,semicylinder/semicylinder_2,33.38416180634828,1
7,cube/cube_1,cylinder/cylinder_4,33.69526214711695,1
8,cube/cube_1,cuboid/cuboid_2,33.79840037641009,2
9,cube/cube_1,cuboid/cuboid_4,35.80625050731144,2
10,cube/cube_1,semicylinder/semicylinder_3,36.582456187047846,2
11,cube/cube_1,cube/cube_2,40.535802111316556,2
12,cube/cube_1,arch/arch_2,42.52351524818539,2
13,cube/cube_1,cylinder/cylinder_3,43.447900269695374,2
14,cube/cube_1,eggplant/eggplant_1,50.87606068345965,2
15,cube/cube_1,eggplant/eggplant_3,54.197009988385915,2
16,cube/cube_1,arch/arch_1,55.38912290155354,3
17,cube/cube_1,eggplant/eggplant_4,59.53579295435787,3
18,cube/cube_1,semicylinder/semicylinder_1,61.18389316716151,3
19,cube/cube_1,banana/banana_1,78.34606199002205,3
20,cube/cube_1,plum/plum_1,86.50278630336938,3
21,cube/cube_1,plum/plum_4,87.82223604871963,3
22,cube/cube_1,potato/potato_2,87.99423806509017,3
23,cube/cube_1,arch/arch_3,88.0515679756234,3
24,cube/cube_1,lemon/lemon_1,88.10889593471583,4
25,cube/cube_1,cucumber/cucumber_4,88.22354622890474,4
26,cube/cube_1,orange/orange_2,88.51014184314606,4
27,cube/cube_1,banana/banana_2,88.56745626243348,4
28,cube/cube_1,corn/corn_1,88.62476924798143,4
29,cube/cube_1,lemon/lemon_3,88.68208085724069,4
30,cube/cube_1,banana/banana_4,88.73939114764967,4
31,cube/cube_1,lemon/lemon_4,88.79670017663486,4
32,cube/cube_1,orange/orange_1,88.85400800161142,5
33,cube/cube_1,orange/orange_3,88.91131467998362,5
34,cube/cube_1,lime/lime_3,89.02592482648105,5
35,cube/cube_1,cucumber/cucumber_2,89.08322840936526,5
36,cube/cube_1,tomato/tomato_1,89.14053107516418,5
37,cube/cube_1,tomato/tomato_3,89.19783288123561,5
38,cube/cube_1,corn/corn_2,89.25513388492966,5
39,cube/cube_1,semicylinder/semicylinder_4,89.31243414358914,5
40,cuboid/cuboid_1,cabbage/cabbage_1,0.0,1
41,cuboid/cuboid_1,arch/arch_4,7.692812451559879,1
42,cuboid/cuboid_1,triangle/triangle_3,29.30810923552546,1
43,cuboid/cuboid_1,eggplant/eggplant_2,30.458110087174013,1
44,cuboid/cuboid_1,triangle/triangle_4,31.018606458686907,1
45,cuboid/cuboid_1,cube/cube_3,32.75413171606776,1
46,cuboid/cuboid_1,semicylinder/semicylinder_2,33.69526214711695,1
47,cuboid/cuboid_1,cuboid/cuboid_2,33.79840037641009,1
48,cuboid/cuboid_1,cuboid/cuboid_4,36.19614962878705,2
49,cuboid/cuboid_1,semicylinder/semicylinder_3,36.86989764584401,2
50,cuboid/cuboid_1,cube/cube_2,40.535802111316556,2
51,cuboid/cuboid_1,arch/arch_2,42.861512210153066,2
52,cuboid/cuboid_1,cylinder/cylinder_3,43.697275299630505,2
53,cuboid/cuboid_1,eggplant/eggplant_1,51.17086683858504,2
54,cuboid/cuboid_1,eggplant/eggplant_3,54.54945736082459,2
55,cuboid/cuboid_1,arch/arch_1,55.458709541466,3
56,cuboid/cuboid_1,eggplant/eggplant_4,59.86759261669137,3
57,cuboid/cuboid_1,semicylinder/semicylinder_1,61.51035010206555,3
58,cuboid/cuboid_1,banana/banana_1,78.69685327512431,3
59,cuboid/cuboid_1,plum/plum_1,86.84714119595358,3
60,cuboid/cuboid_1,arch/arch_3,88.0515679756234,3
61,cuboid/cuboid_1,potato/potato_2,88.10889593471583,3
62,cuboid/cuboid_1,plum/plum_4,88.16622199995335,3
63,cuboid/cuboid_1,cucumber/cucumber_4,88.33818940814187,4
64,cuboid/cuboid_1,lemon/lemon_1,88.45282593265543,4
65,cuboid/cuboid_1,corn/corn_1,88.68208085724069,4
66,cuboid/cuboid_1,carrot/carrot_3,88.73939114764967,4
67,cuboid/cuboid_1,orange/orange_2,88.79670017663486,4
68,cuboid/cuboid_1,potato/potato_1,88.85400800161142,4
69,cuboid/cuboid_1,orange/orange_1,88.91131467998362,4
70,cuboid/cuboid_1,corn/corn_3,88.96862026914545,5
71,cuboid/cuboid_1,orange/orange_3,89.02592482648105,5
72,cuboid/cuboid_1,banana/banana_4,89.08322840936526,5
73,cuboid/cuboid_1,lemon/lemon_4,89.14053107516418,5
74,cuboid/cuboid_1,plum/plum_3,89.19783288123561,5
75,cuboid/cuboid_1,tomato/tomato_3,89.25513388492966,5
76,cuboid/cuboid_1,corn/corn_2,89.31243414358914,5
77,cuboid/cuboid_1,semicylinder/semicylinder_4,89.36973371455022,5
