,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,aaai_std,accuracy,early_stop,f1_score,instances_sorted,mean_max_dissim_,mean_min_dissim_,median_max_dissim_,median_min_dissim_,num_topics,pre_threshold,precision,rec_threshold,recall,std_dev_max_dissim_,std_dev_min_dissim_,type,instances_sorted_early_stop
0,0,0.0,0.0,,,,73.0,82.3125,False,74.09114583333333,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,25,82.54166666666666,25,71.11979166666666,1.0857140223167616,4.227835546707158,object,False_False
1,1,1.0,1.0,,,,73.0,83.14062500000001,False,76.05877976190476,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,25,84.19270833333333,50,73.359375,1.0857140223167616,4.227835546707158,object,False_False
2,2,2.0,2.0,,,,73.0,82.36197916666666,False,74.72991071428572,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,25,82.11979166666666,75,73.17708333333333,1.0857140223167616,4.227835546707158,object,False_False
3,3,3.0,3.0,,,,73.0,81.54166666666667,False,75.16666666666667,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,25,82.76041666666666,90,72.70833333333333,1.0857140223167616,4.227835546707158,object,False_False
4,4,4.0,4.0,,,,73.0,83.25260416666666,False,75.88653273809524,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,50,82.046875,25,74.81770833333333,1.0857140223167616,4.227835546707158,object,False_False
5,5,5.0,5.0,,,,73.0,82.05729166666666,False,74.39285714285714,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,50,82.91666666666666,50,71.11979166666667,1.0857140223167616,4.227835546707158,object,False_False
6,6,6.0,6.0,,,,73.0,83.93229166666666,False,76.19047619047619,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,50,84.33593750000001,75,73.56770833333334,1.0857140223167616,4.227835546707158,object,False_False
7,7,7.0,7.0,,,,73.0,83.0234375,False,74.68898809523809,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,50,83.046875,90,71.90104166666666,1.0857140223167616,4.227835546707158,object,False_False
8,8,8.0,8.0,,,,73.0,81.59375,False,74.52008928571429,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,75,82.20052083333333,25,72.23958333333334,1.0857140223167616,4.227835546707158,object,False_False
9,9,9.0,9.0,,,,73.0,81.66927083333334,False,74.48958333333331,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,75,81.49739583333333,50,73.17708333333334,1.0857140223167616,4.227835546707158,object,False_False
10,10,10.0,10.0,,,,73.0,82.75,False,75.48288690476191,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,75,82.40885416666666,75,73.59375,1.0857140223167616,4.227835546707158,object,False_False
11,11,11.0,11.0,,,,73.0,83.62239583333334,False,76.29538690476191,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,75,84.04947916666666,90,73.61979166666666,1.0857140223167616,4.227835546707158,object,False_False
12,12,12.0,12.0,,,,73.0,81.078125,False,73.13169642857143,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,90,80.52083333333334,25,71.32812499999999,1.0857140223167616,4.227835546707158,object,False_False
13,13,13.0,13.0,,,,73.0,82.1953125,False,74.53199404761905,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,90,83.3984375,50,71.77083333333334,1.0857140223167616,4.227835546707158,object,False_False
14,14,14.0,14.0,,,,73.0,81.75260416666667,False,73.77306547619048,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,90,81.6015625,75,71.84895833333331,1.0857140223167616,4.227835546707158,object,False_False
15,15,15.0,15.0,,,,73.0,82.45572916666666,False,74.97842261904762,False,88.45558139772524,2.4451996647880367,88.85400800161142,0.0,3,90,82.74739583333334,90,73.07291666666666,1.0857140223167616,4.227835546707158,object,False_False
16,16,16.0,16.0,,,,86.6,90.36805555555556,False,89.79166666666666,False,88.11549528983777,9.015671549805921,88.62476649539784,5.731967965197728,3,25,86.48611111111109,25,97.70833333333331,1.211539889811314,11.627052033542476,rgb,False_False
17,17,17.0,17.0,,,,86.6,89.92361111111109,False,89.73511904761904,False,88.11549528983777,9.015671549805921,88.62476649539784,5.731967965197728,3,25,86.32638888888891,50,97.7777777777778,1.211539889811314,11.627052033542476,rgb,False_False
18,18,18.0,18.0,,,,86.6,88.76388888888891,False,88.34920634920636,False,88.11309877379841,9.621244337351127,88.62476649539784,5.731967965197728,3,25,84.9722222222222,75,97.08333333333334,1.2177235876359658,11.519703620755156,rgb,False_False
19,19,19.0,19.0,,,,86.6,86.02083333333331,False,87.13194444444444,False,87.42935650675976,14.470393865254195,88.48148388790074,6.005774303147378,3,25,84.43749999999999,90,94.79166666666666,3.4969943612175025,17.142058277235854,rgb,False_False
20,20,20.0,20.0,,,,86.6,92.09027777777777,False,91.11607142857142,False,88.11549528983777,9.015671549805921,88.62476649539784,5.731967965197728,3,50,88.89583333333331,25,97.22222222222223,1.211539889811314,11.627052033542476,rgb,False_False
21,21,21.0,21.0,,,,86.6,90.15972222222223,False,90.1031746031746,False,88.11549528983777,9.015671549805921,88.62476649539784,5.731967965197728,3,50,88.14583333333334,50,96.73611111111113,1.211539889811314,11.627052033542476,rgb,False_False
22,22,22.0,22.0,,,,86.6,92.47916666666669,False,92.18154761904762,False,88.11549528983777,9.015671549805921,88.62476649539784,5.731967965197728,3,50,90.01388888888891,75,97.84722222222223,1.211539889811314,11.627052033542476,rgb,False_False
23,23,23.0,23.0,,,,86.6,86.11111111111109,False,85.55654761904762,False,88.03079255544445,17.08814030420895,88.68208085724069,6.279580641097027,3,50,81.63194444444446,90,94.44444444444444,1.412942652682567,21.685175028876888,rgb,False_False
24,24,24.0,24.0,,,,86.6,90.875,False,90.3720238095238,False,88.01723103930586,9.936582430653452,88.62476649539784,5.731967965197728,3,75,87.64583333333334,25,97.63888888888893,1.4403324093925751,12.454850952389787,rgb,False_False
25,25,25.0,25.0,,,,86.6,91.69444444444444,False,90.8551587301587,False,88.09392938164574,9.015671549805921,88.62476649539784,5.731967965197728,3,75,88.54166666666666,50,97.01388888888887,1.2614024000698691,11.627052033542476,rgb,False_False
26,26,26.0,26.0,,,,86.6,90.625,False,90.66071428571428,False,88.1131073610707,9.436276742566006,88.59611135019337,5.731967965197728,3,75,89.14583333333334,75,96.38888888888887,1.2103637542318908,11.636472106264176,rgb,False_False
27,27,27.0,27.0,,,,86.6,88.93055555555556,False,88.01488095238096,False,88.02703838300361,17.745282750484023,88.48148388790074,7.44645168111377,3,75,83.1736111111111,90,98.75,1.2770192646306922,22.37701422476055,rgb,False_False
28,28,28.0,28.0,,,,86.6,83.86805555555556,False,85.09523809523809,False,85.83969799084187,18.228754335150725,88.56745339494806,9.24870479102892,3,90,79.77777777777777,25,97.29166666666669,8.50231262279856,21.363812691073747,rgb,False_False
29,29,29.0,29.0,,,,86.6,85.24305555555556,False,82.94940476190476,False,84.06058649701559,15.132966806974919,88.45282593265543,7.764142716062974,3,90,77.20833333333334,50,95.06944444444444,16.58145922447827,14.826171102424722,rgb,False_False
30,30,30.0,30.0,,,,86.6,85.55555555555556,False,84.9027777777778,False,84.55091642830426,20.01709667060692,88.45282593265543,11.186763880959964,3,90,79.69444444444444,75,97.91666666666669,10.170371274074618,21.473191066565885,rgb,False_False
31,31,31.0,31.0,,,,86.6,88.42361111111109,False,87.68849206349205,False,87.17843003739834,24.04108262501977,88.48148388790074,10.217734335994443,3,90,84.45833333333331,90,96.73611111111113,4.744457609077443,28.735256703133782,rgb,False_False
32,32,32.0,32.0,,,,72.3,83.15833333333333,False,76.02380952380952,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,25,82.33333333333333,25,75.25,0.6779204545387283,2.4379904628948617,shape,False_False
33,33,33.0,33.0,,,,72.3,82.45833333333334,False,74.4952380952381,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,25,81.54166666666667,50,73.5,0.6779204545387283,2.4379904628948617,shape,False_False
34,34,34.0,34.0,,,,72.3,79.23333333333333,False,69.65714285714286,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,25,75.91666666666666,75,69.08333333333333,0.6779204545387283,2.4379904628948617,shape,False_False
35,35,35.0,35.0,,,,72.3,82.19999999999997,False,73.12023809523811,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,25,79.75833333333333,90,72.16666666666666,0.6779204545387283,2.4379904628948617,shape,False_False
36,36,36.0,36.0,,,,72.3,81.53333333333333,False,74.92500000000003,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,50,80.46666666666667,25,75.08333333333333,0.6779204545387283,2.4379904628948617,shape,False_False
37,37,37.0,37.0,,,,72.3,81.69166666666666,False,75.52380952380953,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,50,79.91666666666666,50,76.16666666666666,0.6779204545387283,2.4379904628948617,shape,False_False
38,38,38.0,38.0,,,,72.3,81.725,False,75.83333333333334,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,50,82.75,75,74.58333333333333,0.6779204545387283,2.4379904628948617,shape,False_False
39,39,39.0,39.0,,,,72.3,82.58333333333333,False,75.1,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,50,84.33333333333334,90,72.66666666666666,0.6779204545387283,2.4379904628948617,shape,False_False
40,40,40.0,40.0,,,,72.3,82.35833333333333,False,72.72500000000002,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,75,78.96666666666667,25,71.83333333333334,0.6779204545387283,2.4379904628948617,shape,False_False
41,41,41.0,41.0,,,,72.3,80.65,False,73.81190476190477,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,75,78.79166666666666,50,73.99999999999999,0.6779204545387283,2.4379904628948617,shape,False_False
42,42,42.0,42.0,,,,72.3,82.94166666666666,False,74.48095238095237,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,75,81.45833333333331,75,73.33333333333333,0.6779204545387283,2.4379904628948617,shape,False_False
43,43,43.0,43.0,,,,72.3,80.83333333333334,False,75.09285714285714,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,75,84.16666666666666,90,72.41666666666667,0.6779204545387283,2.4379904628948617,shape,False_False
44,44,44.0,44.0,,,,72.3,79.58333333333333,False,72.72619047619047,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,90,80.49999999999999,25,70.49999999999999,0.6779204545387283,2.4379904628948617,shape,False_False
45,45,45.0,45.0,,,,72.3,83.11666666666666,False,76.25238095238095,False,88.77652494924557,1.7112204572600291,89.05457661792316,0.0,3,90,82.83333333333334,50,75.41666666666667,0.6779204545387283,2.4379904628948617,shape,False_False
